dialog_id,emotion,len
tr_4466,happy,9
tr_7536,angry,10
tr_754,happy,8
tr_4110,happy,5
tr_3432,happy,5
tr_943,disgust,17
tr_3894,surprise,6
tr_1561,disgust,13
tr_4533,surprise,12
tr_5297,sad,14
tr_19,happy,6
tr_4248,happy,13
tr_2317,happy,11
tr_1452,happy,9
tr_3694,surprise,21
tr_1711,happy,17
tr_264,angry,9
tr_1146,sad,4
tr_2469,fear,19
tr_692,happy,6
tr_3807,happy,10
tr_5174,angry,17
tr_3821,happy,5
tr_4915,happy,8
tr_654,happy,8
tr_513,happy,16
tr_3580,happy,6
tr_4974,happy,28
tr_5766,happy,8
tr_4181,happy,6
tr_2813,happy,5
tr_1566,angry,19
tr_1975,happy,12
tr_398,angry,10
tr_4127,happy,6
tr_58,happy,8
tr_1902,happy,5
tr_6618,happy,7
tr_13,happy,4
tr_2232,sad,10
tr_4756,surprise,9
tr_4502,happy,6
tr_2908,happy,10
tr_6500,angry,11
tr_2122,happy,15
tr_1464,happy,5
tr_2652,sad,11
tr_2657,happy,4
tr_914,angry,17
tr_2135,happy,4
tr_534,sad,15
tr_2179,surprise,8
tr_2816,angry,3
tr_4464,happy,12
tr_402,happy,5
tr_924,happy,8
tr_1684,happy,5
tr_1086,happy,5
tr_6324,happy,12
tr_154,happy,9
tr_4747,happy,4
tr_3734,surprise,8
tr_5307,happy,4
tr_802,happy,11
tr_3620,happy,13
tr_786,happy,10
tr_1470,happy,6
tr_3449,happy,5
tr_3386,happy,11
tr_4434,happy,8
tr_6265,angry,12
tr_1474,happy,7
tr_2767,disgust,6
tr_4103,happy,8
tr_3192,happy,12
tr_1614,sad,13
tr_2511,angry,13
tr_4080,happy,10
tr_3025,happy,8
tr_1531,happy,7
tr_3477,happy,9
tr_774,happy,7
tr_2217,happy,18
tr_5190,surprise,20
tr_109,happy,7
tr_1026,happy,9
tr_2105,happy,14
tr_3357,happy,7
tr_1569,happy,11
tr_4182,happy,12
tr_3399,happy,4
tr_1522,happy,7
tr_3588,surprise,10
tr_4339,happy,6
tr_7105,happy,8
tr_2535,happy,7
tr_5706,angry,6
tr_3342,angry,9
tr_779,angry,4
tr_3753,happy,14
tr_3417,happy,12
tr_4201,happy,11
tr_3896,fear,11
tr_2968,happy,11
tr_1360,happy,8
tr_3962,happy,4
tr_5811,angry,6
tr_8,happy,12
tr_3185,happy,12
tr_72,angry,7
tr_2851,happy,4
tr_1447,happy,8
tr_3700,happy,7
tr_4680,happy,9
tr_4307,happy,8
tr_2822,surprise,14
tr_66,angry,19
tr_3511,sad,11
tr_850,happy,4
tr_4155,happy,9
tr_2484,happy,15
tr_7614,happy,6
tr_3354,happy,9
tr_7317,disgust,8
tr_945,surprise,11
tr_4679,happy,7
tr_2684,happy,9
tr_1607,surprise,22
tr_2991,happy,12
tr_7269,happy,14
tr_1269,disgust,6
tr_475,happy,9
tr_4281,angry,10
tr_3747,surprise,5
tr_234,surprise,12
tr_3666,happy,4
tr_6152,fear,8
tr_3114,happy,10
tr_942,angry,8
tr_2438,happy,6
tr_1967,happy,4
tr_4002,surprise,10
tr_1984,happy,14
tr_4018,disgust,6
tr_4,surprise,9
tr_3949,happy,7
tr_4295,happy,6
tr_6700,happy,8
tr_1201,happy,6
tr_3897,happy,13
tr_6945,disgust,9
tr_4878,happy,16
tr_650,angry,5
tr_4105,happy,4
tr_3128,happy,12
tr_2717,surprise,19
tr_5504,fear,8
tr_3991,happy,14
tr_1285,happy,9
tr_5685,happy,12
tr_1677,happy,8
tr_4158,happy,14
tr_3405,happy,6
tr_1305,happy,7
tr_932,happy,4
tr_2929,happy,9
tr_3906,surprise,6
tr_6832,angry,9
tr_143,happy,15
tr_2271,happy,9
tr_4194,happy,11
tr_487,happy,9
tr_4161,happy,5
tr_4659,happy,11
tr_3777,happy,12
tr_4053,happy,4
tr_2980,happy,8
tr_188,happy,8
tr_6536,happy,4
tr_3842,happy,13
tr_1130,happy,13
tr_2892,sad,10
tr_5336,happy,4
tr_3899,happy,5
tr_2880,happy,8
tr_1,surprise,6
tr_2653,happy,15
tr_6163,happy,10
tr_18,surprise,8
tr_221,happy,9
tr_399,sad,10
tr_4288,happy,8
tr_784,surprise,8
tr_2550,happy,13
tr_1422,happy,13
tr_3645,happy,4
tr_4091,happy,8
tr_5723,happy,12
tr_981,angry,7
tr_7248,disgust,12
tr_4325,happy,9
tr_2593,sad,10
tr_2861,happy,8
tr_990,happy,9
tr_297,happy,4
tr_2274,happy,15
tr_1917,happy,11
tr_920,happy,7
tr_3547,happy,11
tr_3450,sad,14
tr_1109,happy,11
tr_3810,happy,15
tr_473,happy,9
tr_3024,happy,12
tr_6556,happy,20
tr_1392,happy,8
tr_302,happy,11
tr_893,angry,8
tr_3074,fear,5
tr_2965,happy,6
tr_847,happy,6
tr_4436,happy,7
tr_4525,happy,10
tr_3548,angry,7
tr_1210,happy,15
tr_207,happy,4
tr_3904,happy,5
tr_3786,happy,23
tr_371,happy,13
tr_217,happy,5
tr_181,happy,11
tr_116,happy,4
tr_3685,happy,6
tr_1515,happy,18
tr_5751,angry,6
tr_4750,happy,12
tr_1987,happy,5
tr_4633,happy,7
tr_426,happy,5
tr_4262,happy,11
tr_7678,happy,10
tr_246,happy,8
tr_2315,happy,4
tr_1980,happy,21
tr_1498,happy,4
tr_1315,angry,11
tr_7197,angry,10
tr_2356,happy,18
tr_396,happy,10
tr_1634,happy,20
tr_3011,happy,10
tr_1069,sad,8
tr_3648,happy,11
tr_4332,happy,17
tr_5431,happy,14
tr_877,angry,8
tr_3974,happy,4
tr_1547,fear,12
tr_710,happy,16
tr_1420,happy,9
tr_1693,happy,12
tr_3651,happy,14
tr_2311,happy,8
tr_756,angry,20
tr_1532,happy,15
tr_4156,happy,5
tr_1675,surprise,12
tr_2240,happy,13
tr_5276,happy,10
tr_1471,angry,8
tr_3363,happy,4
tr_452,disgust,7
tr_2901,sad,6
tr_6465,happy,12
tr_209,happy,8
tr_4627,angry,13
tr_4337,happy,9
tr_3480,happy,16
tr_15,surprise,7
tr_4576,happy,22
tr_2797,happy,8
tr_427,sad,12
tr_2347,happy,4
tr_3228,happy,8
tr_2412,sad,12
tr_2118,happy,8
tr_2911,surprise,12
tr_155,happy,7
tr_2706,happy,4
tr_6281,happy,15
tr_1151,happy,12
tr_4696,sad,8
tr_3722,happy,9
tr_3441,happy,10
tr_1166,happy,13
tr_1703,happy,9
tr_3662,happy,5
tr_3677,happy,12
tr_4188,happy,6
tr_7171,angry,12
tr_4624,angry,8
tr_3939,happy,4
tr_560,happy,6
tr_607,surprise,10
tr_2683,happy,10
tr_1805,happy,4
tr_1021,happy,6
tr_17,surprise,5
tr_2377,angry,17
tr_2415,happy,4
tr_3663,happy,9
tr_6491,happy,11
tr_1951,happy,13
tr_3967,disgust,12
tr_6282,happy,14
tr_3504,happy,10
tr_4280,happy,6
tr_7526,happy,8
tr_5293,happy,16
tr_2080,happy,7
tr_1350,disgust,8
tr_3197,angry,12
tr_4614,happy,8
tr_7397,happy,12
tr_4895,happy,8
tr_759,happy,5
tr_387,happy,8
tr_1106,happy,7
tr_1267,happy,8
tr_587,happy,10
tr_2212,happy,6
tr_3822,angry,6
tr_7551,happy,7
tr_3805,happy,19
tr_1848,happy,7
tr_5357,angry,10
tr_2695,happy,9
tr_3718,happy,8
tr_1507,happy,5
tr_3036,happy,7
tr_60,happy,16
tr_3678,happy,15
tr_3195,happy,5
tr_1892,happy,21
tr_3551,happy,4
tr_1234,happy,11
tr_6595,happy,6
tr_1451,angry,9
tr_4230,disgust,6
tr_1627,sad,13
tr_1343,happy,4
tr_144,happy,13
tr_1009,disgust,5
tr_1617,happy,8
tr_1739,happy,15
tr_6867,happy,15
tr_2820,happy,7
tr_4994,sad,19
tr_2745,happy,4
tr_183,happy,7
tr_112,happy,4
tr_7638,disgust,9
tr_3169,happy,7
tr_232,happy,12
tr_4266,happy,14
tr_1523,happy,6
tr_4475,happy,4
tr_2998,angry,9
tr_3636,happy,14
tr_2184,disgust,8
tr_1761,happy,6
tr_4066,happy,7
tr_4647,happy,9
tr_740,happy,8
tr_4596,happy,4
tr_5729,happy,6
tr_4722,happy,18
tr_3023,happy,13
tr_3624,sad,8
tr_3905,happy,15
tr_4689,happy,8
tr_2002,happy,10
tr_984,happy,5
tr_4589,happy,17
tr_62,happy,12
tr_5,happy,10
tr_2678,happy,8
tr_1378,happy,12
tr_223,happy,16
tr_5857,happy,8
tr_2799,happy,8
tr_1462,happy,7
tr_3632,happy,4
tr_2509,happy,17
tr_1630,happy,7
tr_4061,happy,9
tr_7044,happy,17
tr_3972,happy,20
tr_1590,happy,6
tr_3400,happy,10
tr_1209,happy,16
tr_2505,happy,5
tr_2389,sad,14
tr_3720,happy,10
tr_4220,happy,6
tr_4130,happy,12
tr_5977,angry,8
tr_2101,angry,18
tr_2425,disgust,9
tr_4558,happy,13
tr_3659,happy,9
tr_3350,sad,17
tr_2052,angry,16
tr_1477,happy,12
tr_1738,happy,13
tr_3948,happy,12
tr_263,happy,4
tr_2817,surprise,12
tr_3672,happy,16
tr_7481,happy,24
tr_1754,happy,10
tr_2421,happy,10
tr_5251,surprise,12
tr_1231,happy,9
tr_3139,happy,16
tr_3216,happy,12
tr_700,happy,5
tr_3410,surprise,11
tr_1283,happy,4
tr_1006,angry,8
tr_1143,happy,4
tr_1928,happy,25
tr_1090,happy,16
tr_3261,happy,6
tr_1444,happy,9
tr_2487,happy,5
tr_2787,happy,9
tr_7161,happy,12
tr_904,fear,9
tr_2520,happy,14
tr_2944,happy,10
tr_2744,sad,10
tr_3280,surprise,8
tr_3107,sad,10
tr_1628,happy,9
tr_1664,happy,16
tr_3773,happy,7
tr_1598,happy,4
tr_505,happy,14
tr_605,surprise,8
tr_2400,happy,7
tr_6005,happy,16
tr_260,happy,7
tr_3963,angry,8
tr_20,happy,11
tr_1003,happy,4
tr_4097,surprise,13
tr_2061,happy,7
tr_403,happy,10
tr_2475,sad,12
tr_3558,disgust,10
tr_2772,happy,4
tr_771,happy,10
tr_2940,sad,8
tr_511,happy,4
tr_6903,happy,11
tr_2833,happy,17
tr_7257,happy,10
tr_1317,happy,12
tr_3234,happy,12
tr_4185,happy,4
tr_4164,happy,8
tr_4432,happy,6
tr_1453,happy,7
tr_1757,happy,4
tr_6828,surprise,16
tr_1688,happy,7
tr_5629,happy,12
tr_2170,happy,13
tr_2299,happy,12
tr_3129,sad,5
tr_2781,surprise,6
tr_2581,happy,10
tr_4516,happy,20
tr_1250,happy,4
tr_3000,happy,5
tr_1660,happy,6
tr_1238,happy,9
tr_306,happy,8
tr_176,happy,12
tr_485,happy,7
tr_74,disgust,8
tr_6796,happy,9
tr_627,happy,10
tr_3770,happy,11
tr_3457,happy,17
tr_1804,happy,7
tr_1936,happy,21
tr_2536,happy,5
tr_3266,happy,7
tr_3968,angry,10
tr_3930,happy,11
tr_2042,happy,7
tr_3741,sad,5
tr_2210,angry,21
tr_6198,happy,7
tr_839,happy,8
tr_3376,happy,6
tr_3166,happy,10
tr_4271,disgust,4
tr_12,happy,8
tr_1599,happy,13
tr_3404,happy,11
tr_6960,fear,21
tr_5721,disgust,7
tr_3596,happy,7
tr_797,happy,12
tr_1028,happy,10
tr_1575,happy,4
tr_2223,happy,8
tr_483,sad,14
tr_5410,happy,7
tr_6,surprise,7
tr_1712,happy,11
tr_793,happy,15
tr_6664,happy,12
tr_2526,happy,5
tr_1632,surprise,4
tr_205,angry,8
tr_1704,happy,9
tr_5390,disgust,10
tr_3356,happy,4
tr_343,happy,16
tr_2524,happy,12
tr_2440,happy,9
tr_1780,happy,4
tr_3336,happy,15
tr_982,happy,10
tr_4518,surprise,9
tr_4336,surprise,10
tr_4804,angry,12
tr_1950,sad,7
tr_5737,surprise,9
tr_3755,sad,12
tr_5961,sad,19
tr_1591,happy,10
tr_3533,sad,18
tr_4291,happy,9
tr_3729,surprise,9
tr_1730,happy,10
tr_1288,happy,10
tr_2810,happy,8
tr_7,happy,13
tr_5981,happy,12
tr_4551,happy,4
tr_2250,surprise,14
tr_2306,happy,12
tr_4023,happy,20
tr_5231,happy,26
tr_2072,happy,17
tr_714,sad,6
tr_3046,happy,16
tr_345,happy,6
tr_3443,happy,10
tr_7100,happy,10
tr_5618,happy,8
tr_1586,happy,8
tr_2606,happy,12
tr_5282,sad,8
tr_3474,happy,10
tr_7050,happy,26
tr_2301,happy,6
tr_6757,happy,12
tr_3772,happy,12
tr_6663,happy,10
tr_2826,sad,16
tr_2198,happy,11
tr_4233,happy,12
tr_2553,happy,8
tr_2486,disgust,12
tr_4698,happy,8
tr_3279,happy,9
tr_1501,happy,8
tr_1656,happy,8
tr_377,happy,8
tr_2825,happy,12
tr_3481,happy,9
tr_1284,happy,12
tr_2310,happy,6
tr_6232,happy,29
tr_3177,happy,11
tr_4660,happy,4
tr_2208,angry,12
tr_1150,happy,9
tr_1001,happy,4
tr_1268,angry,4
tr_2984,happy,6
tr_5113,surprise,4
tr_778,happy,8
tr_738,happy,18
tr_4104,happy,10
tr_3971,happy,12
tr_921,happy,11
tr_2714,happy,14
tr_3097,happy,4
tr_6322,angry,13
tr_4792,surprise,12
tr_7274,surprise,8
tr_6748,happy,4
tr_2186,happy,8
tr_6401,happy,12
tr_3815,happy,6
tr_3855,angry,19
tr_2407,happy,8
tr_1514,happy,8
tr_2762,surprise,8
tr_6038,happy,16
tr_5204,sad,10
tr_1432,happy,6
tr_2371,happy,11
tr_1716,happy,15
tr_4049,happy,10
tr_1097,happy,10
tr_2084,angry,6
tr_3073,happy,8
tr_4480,angry,11
tr_4087,happy,13
tr_1592,happy,5
tr_7360,sad,10
tr_319,happy,6
tr_1064,happy,9
tr_1205,angry,14
tr_1526,happy,4
tr_1133,happy,10
tr_4099,surprise,27
tr_3980,happy,11
tr_3060,happy,9
tr_108,happy,10
tr_2313,happy,13
tr_2304,happy,4
tr_1353,happy,12
tr_5748,happy,8
tr_3283,disgust,5
tr_3365,happy,15
tr_1211,happy,12
tr_1971,fear,10
tr_3421,happy,12
tr_5376,happy,8
tr_4771,happy,12
tr_2330,disgust,13
tr_2200,happy,8
tr_1655,happy,10
tr_284,happy,4
tr_3647,happy,6
tr_3912,happy,10
tr_3702,happy,14
tr_1885,happy,8
tr_3256,happy,10
tr_1661,happy,16
tr_593,happy,6
tr_316,happy,12
tr_554,happy,14
tr_2513,happy,9
tr_2821,happy,4
tr_2815,happy,6
tr_3053,angry,13
tr_1719,happy,7
tr_2467,angry,13
tr_4132,happy,10
tr_266,happy,10
tr_4693,happy,12
tr_2376,happy,15
tr_3439,happy,17
tr_1637,happy,4
tr_203,happy,4
tr_6467,angry,6
tr_1054,happy,8
tr_2575,happy,8
tr_4613,happy,5
tr_2275,happy,14
tr_1563,sad,7
tr_5453,surprise,15
tr_1324,happy,5
tr_1509,happy,6
tr_864,surprise,16
tr_632,angry,8
tr_407,happy,4
tr_194,happy,4
tr_4165,happy,9
tr_5375,happy,12
tr_6984,angry,13
tr_3954,happy,11
tr_44,sad,4
tr_677,surprise,11
tr_1734,happy,11
tr_3542,happy,6
tr_4470,happy,21
tr_6847,happy,13
tr_2904,happy,11
tr_3042,happy,10
tr_2743,disgust,7
tr_2066,happy,12
tr_1735,happy,15
tr_1494,happy,6
tr_1073,happy,9
tr_1784,happy,9
tr_5802,happy,16
tr_2471,happy,8
tr_1954,surprise,14
tr_2279,happy,9
tr_2679,happy,9
tr_1060,happy,10
tr_923,happy,4
tr_3676,happy,11
tr_4536,happy,9
tr_1295,happy,4
tr_4381,sad,19
tr_2332,happy,14
tr_1059,happy,5
tr_3888,happy,12
tr_2154,happy,5
tr_228,happy,16
tr_1686,happy,12
tr_222,sad,11
tr_2453,happy,6
tr_2378,happy,7
tr_4999,fear,12
tr_2710,happy,9
tr_4911,happy,8
tr_2803,happy,12
tr_4936,happy,14
tr_5278,happy,11
tr_39,happy,6
tr_1287,happy,9
tr_6671,happy,5
tr_973,angry,9
tr_4163,happy,7
tr_510,happy,20
tr_1178,happy,17
tr_832,angry,11
tr_4092,happy,8
tr_1266,happy,15
tr_4204,happy,9
tr_2975,happy,6
tr_1653,happy,6
tr_85,happy,12
tr_6931,happy,6
tr_1200,happy,8
tr_2366,happy,11
tr_3138,surprise,12
tr_5156,happy,12
tr_3071,surprise,19
tr_3233,happy,9
tr_7427,angry,6
tr_2312,surprise,6
tr_1604,happy,19
tr_3054,happy,8
tr_2668,happy,8
tr_2893,happy,9
tr_1962,happy,10
tr_2969,sad,7
tr_375,happy,7
tr_4202,angry,10
tr_2752,happy,6
tr_5133,happy,6
tr_4544,happy,7
tr_1084,happy,6
tr_6350,happy,5
tr_959,surprise,8
tr_1445,happy,6
tr_1725,happy,15
tr_3320,happy,18
tr_158,surprise,31
tr_3813,happy,16
tr_3937,happy,6
tr_2006,disgust,7
tr_2251,happy,9
tr_4378,sad,6
tr_1092,happy,4
tr_1072,happy,8
tr_4554,happy,4
tr_1408,happy,8
tr_7412,angry,4
tr_1548,angry,6
tr_2882,happy,16
tr_0,happy,10
tr_321,angry,9
tr_198,disgust,6
tr_3864,happy,8
tr_1012,sad,9
tr_3957,happy,19
tr_3307,happy,16
tr_132,happy,4
tr_2124,happy,9
tr_2552,happy,10
tr_1319,happy,9
tr_1354,happy,9
tr_4106,happy,10
tr_1443,happy,17
tr_1921,happy,7
tr_2801,happy,10
tr_2957,happy,7
tr_5414,angry,11
tr_4907,sad,13
tr_896,happy,7
tr_7189,happy,12
tr_5034,happy,16
tr_1775,happy,14
tr_5481,happy,14
tr_3484,angry,12
tr_3655,happy,11
tr_6739,happy,15
tr_2209,angry,7
tr_2372,happy,8
tr_6382,sad,4
tr_1723,happy,9
tr_5869,happy,12
tr_182,happy,4
tr_1963,sad,14
tr_3184,happy,17
tr_2399,happy,5
tr_5984,happy,8
tr_502,happy,6
tr_2986,surprise,14
tr_1557,happy,5
tr_3823,happy,15
tr_5277,surprise,8
tr_5180,happy,9
tr_4420,sad,4
tr_1262,happy,17
tr_4246,happy,4
tr_3002,angry,9
tr_4318,happy,11
tr_2403,happy,4
va_980,happy,8
va_345,angry,10
tr_7727,happy,14
va_184,happy,13
tr_7853,happy,10
va_371,angry,15
va_838,sad,12
tr_7729,happy,15
va_829,happy,10
va_201,happy,6
tr_7961,happy,11
va_977,happy,10
tr_7980,sad,7
va_32,angry,7
tr_7751,happy,11
va_664,happy,11
va_474,happy,10
va_504,happy,6
tr_7889,happy,12
va_347,angry,4
va_86,angry,10
va_726,happy,9
va_922,angry,9
va_315,happy,7
va_491,happy,12
va_663,surprise,22
va_64,angry,13
va_330,happy,9
va_439,sad,8
tr_7823,sad,8
va_607,sad,9
va_926,sad,6
va_428,happy,16
va_410,sad,14
va_227,happy,10
va_472,happy,4
va_835,happy,7
va_76,angry,20
va_856,surprise,13
va_710,happy,9
va_882,happy,12
va_212,sad,15
tr_7847,happy,8
va_727,happy,16
va_101,happy,9
va_544,happy,4
va_848,happy,12
tr_9708,disgust,9
te_935,happy,7
te_665,happy,4
tr_9573,happy,14
tr_10180,angry,8
tr_9306,happy,21
te_416,happy,18
te_501,surprise,10
tr_8938,surprise,16
tr_8162,happy,10
te_623,happy,10
tr_9911,happy,12
tr_7996,angry,12
te_612,happy,12
te_335,happy,14
tr_10410,sad,8
te_198,angry,10
te_700,angry,11
te_352,angry,11
tr_9974,angry,10
tr_10265,happy,17
tr_10709,angry,12
te_739,disgust,6
tr_10606,happy,5
te_587,angry,10
tr_10358,sad,10
tr_10620,happy,16
te_695,happy,6
te_864,happy,12
te_41,happy,17
tr_9841,happy,10
tr_9076,happy,10
tr_10724,happy,4
tr_11079,happy,8
te_754,happy,9
tr_8392,angry,13
te_732,disgust,12
te_646,sad,10
tr_10880,happy,11
te_980,happy,11
te_659,happy,19
tr_10853,happy,12
te_685,angry,4
tr_8798,happy,12
tr_9778,angry,15
tr_8080,sad,10
tr_8747,disgust,8
tr_7991,angry,10
tr_8620,angry,6
te_368,angry,10
te_901,sad,8
tr_10645,happy,9
te_924,happy,16
tr_8184,sad,21
tr_8804,happy,13
te_942,happy,9
tr_8560,happy,8
tr_10009,angry,4
te_861,fear,10
tr_10727,sad,8
tr_8433,happy,10
tr_8576,happy,12
te_786,happy,10
te_650,happy,6
te_315,angry,8
tr_10420,angry,5
te_741,happy,6
tr_10644,surprise,12
tr_9837,happy,4
te_757,happy,14
tr_8265,sad,7
te_834,happy,8
te_627,happy,8
te_534,happy,12
tr_10592,happy,8
te_361,happy,13
tr_7995,happy,14
tr_8322,angry,16
tr_8698,fear,15
tr_10549,happy,13
tr_10130,happy,11
te_804,surprise,16
tr_9249,happy,17
te_810,happy,14
te_189,happy,19
tr_9172,happy,12
tr_11018,angry,23
tr_10950,angry,10
te_713,happy,6
te_473,disgust,10
te_755,happy,10
tr_10362,sad,17
te_932,happy,11
tr_10014,angry,6
tr_9280,happy,14
tr_8946,angry,12
tr_8414,happy,7
te_912,angry,10
te_604,happy,8
tr_8864,happy,12
te_624,happy,7
tr_9397,angry,7
tr_8270,happy,13
tr_8028,sad,8
tr_8728,happy,14
te_762,happy,4
tr_8470,happy,12
tr_8520,sad,14
tr_10943,sad,10
tr_8640,happy,16
te_525,happy,6
te_847,disgust,13
tr_9643,happy,16
tr_10488,sad,10
tr_10373,sad,14
te_672,sad,12
tr_10408,happy,12
tr_10826,fear,6
tr_9339,happy,6
tr_8930,sad,16
tr_8243,happy,9
tr_9626,surprise,14
tr_10099,angry,13
tr_10329,happy,12
tr_8244,happy,16
tr_8014,angry,23
tr_8904,surprise,11
te_880,happy,4
te_52,happy,13
tr_11047,happy,10
tr_9310,happy,8
tr_10763,fear,21
tr_8499,happy,12
te_982,happy,10
te_976,happy,5
tr_8398,happy,12
te_266,happy,11
tr_9812,happy,6
tr_8368,surprise,6
te_267,happy,14
tr_9389,sad,11
te_38,angry,7
te_291,happy,8
tr_10419,happy,11
te_916,happy,10
te_625,happy,6
tr_11053,surprise,14
te_793,happy,8
tr_8921,surprise,13
te_891,angry,11
te_469,happy,10
tr_8613,happy,15
tr_8342,happy,12
tr_10906,happy,14
te_601,happy,6
tr_8963,sad,12
te_277,happy,14
te_598,happy,8
te_683,happy,9
te_968,sad,15
tr_9666,happy,9
tr_9046,happy,15
tr_10955,happy,13
tr_8790,happy,11
tr_9734,happy,12
te_958,happy,16
tr_9705,happy,12
te_546,happy,7
te_354,happy,6
tr_9653,angry,7
tr_8803,angry,12
te_500,happy,4
tr_10030,surprise,13
tr_9686,angry,19
tr_8002,surprise,5
te_435,happy,10
te_719,sad,4
te_28,happy,18
te_844,angry,11
tr_8608,happy,12
te_637,disgust,11
te_282,happy,14
tr_9204,sad,7
tr_8182,happy,10
tr_10095,happy,12
te_822,happy,4
tr_8068,sad,13
te_578,happy,4
te_58,angry,11
te_62,happy,10
te_478,happy,7
te_34,sad,12
te_712,happy,4
te_913,happy,7
te_579,happy,12
te_691,happy,5
te_261,happy,8
te_681,happy,7
te_532,happy,15
te_760,happy,4
te_722,happy,6
te_745,angry,19
tr_10916,happy,12
tr_8753,angry,8
te_678,angry,13
tr_8768,happy,16
tr_8373,happy,8
te_910,happy,7
tr_10226,happy,14
te_12,sad,5
tr_10301,happy,10
te_182,sad,11
te_926,sad,12
tr_9516,happy,14
tr_10059,fear,8
te_772,happy,4
tr_10047,fear,8
te_248,happy,17
te_860,angry,11
tr_9779,happy,12
te_999,happy,12
tr_9789,happy,7
te_767,sad,6
te_796,happy,8
tr_10060,happy,10